orth_,lemma_,tag_,pos_,dep_,head,is_stop,is_punct,is_digit
podaruj,podarować,IMPT,VERB,ROOT,podaruj,False,False,False
mu,on,PPRON3,PRON,iobj,podaruj,True,False,False
drugą,drugi,ADJ,ADJ,amod,młodość,False,False,False
młodość,młodość,SUBST,NOUN,obj,podaruj,False,False,False
posadzenie,posadzenie,GER,NOUN,acl,młodość,False,False,False
drzew,drzewo,SUBST,NOUN,obj,posadzenie,False,False,False
wzdłuż,wzdłuż,PREP,ADP,case,alej,False,False,False
alej,aleja,SUBST,NOUN,obl,posadzenie,False,False,False
jerozolimskich,jerozolimski,ADJ,ADJ,amod,zakup,False,False,False
zakup,zakup,SUBST,NOUN,obj,posadzenie,False,False,False
nowości,nowość,SUBST,NOUN,nmod:arg,zakup,False,False,False
książkowych,książkowy,ADJ,ADJ,amod,nowości,False,False,False
do,do,PREP,ADP,case,wypożyczalni,True,False,False
wypożyczalni,wypożyczalnia,SUBST,NOUN,obl,posadzenie,False,False,False
nr,nr,BREV,X,nmod,wypożyczalni,False,False,False
40,40,NUM,X,nmod,nr,False,False,True
i,i,CONJ,CCONJ,cc,biblioteki,True,False,False
biblioteki,biblioteka,SUBST,NOUN,conj,40,False,False,False
dla,dla,PREP,ADP,case,dzieci,True,False,False
dzieci,dziecko,SUBST,NOUN,nmod,biblioteki,False,False,False
nr,nr,BREV,X,nmod,biblioteki,False,False,False
47,47,NUM,X,nsubj,czysta,False,False,True
czysta,czysty,ADJ,ADJ,amod,ścieżka,False,False,False
wisła,wisła,SUBST,PROPN,nsubj,czysta,False,False,False
na,na,PREP,ADP,case,żoliborzu,True,False,False
żoliborzu,żoliborzu,SUBST,NOUN,obl,czysta,False,False,False
centralnym,centralny,ADJ,ADJ,amod,żoliborzu,False,False,False
 , ,_SP,SPACE,dep,żoliborzu,False,False,False
czysta,czysty,ADJ,ADJ,conj,czysta,False,False,False
wisła,wisła,SUBST,PROPN,nsubj,czysta,False,False,False
w,w,PREP,ADP,case,wilanowie,True,False,False
wilanowie,wilanowie,SUBST,NOUN,obl:arg,czysta,False,False,False
jazdów,jazdów,SUBST,VERB,iobj,wilanowie,False,False,False
domki,domek,SUBST,NOUN,nsubj,czysta,False,False,False
fińskie,fiński,ADJ,ADJ,amod,domki,False,False,False
-,-,INTERP,PUNCT,punct,szkoła,False,True,False
szkoła,szkoła,SUBST,NOUN,appos,domki,False,False,False
przyrody,przyroda,SUBST,NOUN,nmod,szkoła,False,False,False
-,-,INTERP,PUNCT,punct,pikniki,False,True,False
ekomiasto,ekomiasto,ADJA,ADV,nsubj,pikniki,False,False,False
lokalne,lokalny,ADJ,ADJ,amod,pikniki,False,False,False
pikniki,piknik,SUBST,NOUN,conj,szkoła,False,False,False
z,z,PREP,ADP,case,atrakcjami,True,False,False
atrakcjami,atrakcja,SUBST,NOUN,nmod,pikniki,False,False,False
w,w,PREP,ADP,case,stylu,True,False,False
harcerskim,harcerski,ADJ,ADJ,amod,stylu,False,False,False
stylu,stylo,SUBST,NOUN,nmod,atrakcjami,False,False,False
zakup,zakup,SUBST,NOUN,nmod,pikniki,False,False,False
sprzętu,sprzęt,SUBST,NOUN,nmod:arg,zakup,False,False,False
audio,audio,ADJ,ADJ,amod,sprzętu,False,False,False
-,-,INTERP,PUNCT,punct,wideo,False,True,False
wideo,wideo,ADJ,ADJ,conj,audio,False,False,False
dla,dla,PREP,ADP,case,domu,True,False,False
domu,dom,SUBST,NOUN,nmod,sprzętu,False,False,False
kultury,kultura,SUBST,NOUN,nmod,domu,False,False,False
"""","""",INTERP,PUNCT,punct,kolorowa,False,True,False
kolorowa,kolorowy,SUBST,ADJ,nmod,domu,False,False,False
ścieżka,ścieżek,SUBST,NOUN,nsubj,podaruj,False,False,False
dla,dla,PREP,ADP,case,jeziorka,True,False,False
jeziorka,jeziorko,SUBST,NOUN,nmod,ścieżka,False,False,False
czerniakowskiego,czerniakowski,ADJ,ADJ,acl,jeziorka,False,False,False
street,street,SUBST,PROPN,nmod,ścieżka,False,False,False
workout,workout,SUBST,PROPN,flat,street,False,False,False
park,park,SUBST,NOUN,flat,workout,False,False,False
neon,neon,SUBST,NOUN,nmod:flat,park,False,False,False
w,w,PREP,ADP,case,pl,True,False,False
na,na,PREP,ADP,case,pl,True,False,False
pl,pl,SUBST,X,nmod,ścieżka,False,False,False
.,.,INTERP,PUNCT,punct,pl,False,True,False
wilsona,wilsona,SUBST,ADJ,acl,ścieżka,False,False,False
!,!,INTERP,PUNCT,punct,podaruj,False,True,False
zajęcia,zajęcie,SUBST,NOUN,ROOT,zajęcia,False,False,False
fitness,fitness,SUBST,NOUN,nmod,zajęcia,False,False,False
",",",",INTERP,PUNCT,punct,zumba,False,True,False
zumba,zumba,SUBST,NOUN,conj,zajęcia,False,False,False
dla,dla,PREP,ADP,case,mieszkańców,True,False,False
mieszkańców,mieszkaniec,SUBST,NOUN,nmod,zumba,False,False,False
zielonego,zielony,ADJ,ADJ,amod,ursynowa,False,False,False
ursynowa,ursynowa,SUBST,NOUN,nmod,mieszkańców,False,False,False
z,z,PREP,ADP,case,zajęciami,True,False,False
równoczesnymi,równoczesny,PPAS,ADJ,amod,zajęciami,False,False,False
zajęciami,zajęcie,SUBST,NOUN,nmod,zumba,False,False,False
dla,dla,PREP,ADP,case,dzieci,True,False,False
dzieci,dziecko,SUBST,NOUN,nmod,zajęciami,False,False,False
.,.,INTERP,PUNCT,punct,zajęcia,False,True,False
uspokojony,uspokojony,PPAS,ADJ,acl,ruch,False,False,False
ruch,rucho,SUBST,NOUN,ROOT,ruch,False,False,False
na,na,PREP,ADP,case,ulicach,True,False,False
lokalnych,lokalny,ADJ,ADJ,amod,ulicach,False,False,False
ulicach,ulica,SUBST,NOUN,nmod,ruch,False,False,False
zielonego,zielony,ADJ,ADJ,amod,ursynowa,False,False,False
ursynowa,ursynowa,SUBST,NOUN,nmod,ulicach,False,False,False
pod,pod,PREP,ADP,case,latarnią,True,False,False
latarnią,latarnia,SUBST,NOUN,nmod,ruch,False,False,False
najjaśniej,jaśnie,ADV,ADV,advmod,bezpieczny,False,False,False
bezpieczny,bezpieczny,ADJ,ADJ,amod,ruch,False,False,False
i,i,CONJ,CCONJ,cc,oświetlony,True,False,False
oświetlony,oświetlony,PPAS,ADJ,conj,bezpieczny,False,False,False
chodnik,chodnik,SUBST,NOUN,nsubj,bezpieczny,False,False,False
ul.górczewska,ul.górczewska,ADJ,ADJ,amod,chodnik,False,False,False
róg,róg,SUBST,NOUN,nmod,chodnik,False,False,False
konarskiego,konarskiego,SUBST,ADJ,amod,róg,False,False,False
oraz,oraz,CONJ,CCONJ,cc,górczewska,True,False,False
górczewska,górczewska,SUBST,ADJ,conj,konarskiego,False,False,False
-,-,INTERP,PUNCT,punct,bolkowska,False,True,False
bolkowska,bolkowska,SUBST,PROPN,conj,górczewska,False,False,False
.,.,INTERP,PUNCT,punct,ruch,False,True,False
rewitalizacja,rewitalizacja,SUBST,NOUN,ROOT,rewitalizacja,False,False,False
przestrzeni,przestrzeń,SUBST,NOUN,nmod:arg,rewitalizacja,False,False,False
miejskiej,miejski,ADJ,ADJ,amod,przestrzeni,False,False,False
pomiędzy,pomiędzy,PREP,ADP,case,budynkami,False,False,False
budynkami,budynek,SUBST,NOUN,nmod,rewitalizacja,False,False,False
sosnkowskiego,sosnkowskiego,ADJ,ADJ,amod,budynkami,False,False,False
16,16,ADJ,NOUN,nmod,budynkami,False,False,True
(,(,INF,PUNCT,punct,dom,False,True,False
dom,dom,SUBST,NOUN,nmod,16,False,False,False
kultury,kultura,SUBST,NOUN,nmod,dom,False,False,False
"""","""",INTERP,PUNCT,punct,kolorowa,False,True,False
kolorowa,kolorowy,SUBST,ADJ,amod,dom,False,False,False
"""","""",SUBST,PUNCT,punct,kolorowa,False,True,False
",",",",INTERP,PUNCT,punct,policja,False,True,False
policja,policja,SUBST,NOUN,conj,dom,False,False,False
),),INTERP,PUNCT,punct,dom,False,True,False
a,a,CONJ,CCONJ,cc,placem,True,False,False
placem,plac,SUBST,NOUN,conj,budynkami,False,False,False
1905,1905,ADJ,ADJ,amod:flat,r,False,False,True
r,r,BREV,X,nmod:arg,placem,False,False,False
.,.,INTERP,PUNCT,punct,r,False,True,False
w,w,PREP,ADP,case,warszawie,True,False,False
warszawie,warszawa,SUBST,PROPN,nmod,placem,False,False,False
bezpieczna,bezpieczny,ADJ,ADJ,amod,nawierzchnia,False,False,False
nawierzchnia,nawierzchnia,SUBST,NOUN,nsubj,rewitalizacja,False,False,False
na,na,PREP,ADP,case,placu,True,False,False
placu,plac,SUBST,NOUN,nmod,nawierzchnia,False,False,False
zabaw,zabawa,SUBST,NOUN,nmod:arg,placu,False,False,False
przy,przy,PREP,ADP,case,ul,True,False,False
ul,ul,BREV,X,nmod,placu,False,False,False
.,.,INTERP,PUNCT,punct,ul,False,True,False
wałuszewskiej,wałuszewskiej,SUBST,ADJ,amod,ul,False,False,False
24,24,NUM,NUM,nummod,róże,False,False,True
róże,róża,SUBST,NOUN,nmod,rewitalizacja,False,False,False
w,w,PREP,ADP,case,parku,True,False,False
parku,park,SUBST,NOUN,nmod,róże,False,False,False
janiny,janiny,SUBST,PROPN,nmod,parku,False,False,False
porazińskiej,porazińskiej,ADJ,ADJ,amod,liga,False,False,False
międzyszkolna,międzyszkolny,ADJ,ADJ,amod,liga,False,False,False
liga,liga,SUBST,NOUN,appos,róże,False,False,False
szachowa,szachowy,ADJ,ADJ,amod,liga,False,False,False
dla,dla,PREP,ADP,case,dzieci,True,False,False
dzieci,dziecko,SUBST,NOUN,nmod,liga,False,False,False
",",",",INTERP,PUNCT,punct,rodzin,False,True,False
rodzin,rodzina,SUBST,NOUN,conj,dzieci,False,False,False
i,i,CONJ,CCONJ,cc,dorosłych,True,False,False
dorosłych,dorosły,SUBST,NOUN,conj,dzieci,False,False,False
.,.,INTERP,PUNCT,punct,rewitalizacja,False,True,False
popularyzacja,popularyzacja,SUBST,NOUN,nsubj,woronicza,False,False,False
szachów,szachy,SUBST,NOUN,nmod:arg,popularyzacja,False,False,False
w,w,PREP,ADP,case,dzielnicy,True,False,False
dzielnicy,dzielnica,SUBST,NOUN,nmod,popularyzacja,False,False,False
ursus,ursus,SUBST,PROPN,nmod,dzielnicy,False,False,False
",",",",INTERP,PUNCT,punct,integracja,False,True,False
integracja,integracja,SUBST,NOUN,conj,popularyzacja,False,False,False
pokoleń,pokolenie,SUBST,NOUN,nmod:arg,integracja,False,False,False
zielona,zielony,ADJ,ADJ,amod,grójecka,False,False,False
grójecka,grójecka,ADJ,PROPN,nmod,pokoleń,False,False,False
-,-,INTERP,PUNCT,punct,drzewa,False,True,False
–,–,INTERP,PUNCT,punct,drzewa,False,True,False
nowe,nowy,ADJ,ADJ,amod,drzewa,False,False,False
drzewa,drzewo,SUBST,NOUN,conj,popularyzacja,False,False,False
i,i,CONJ,CCONJ,cc,krzewy,True,False,False
krzewy,krzew,SUBST,NOUN,conj,drzewa,False,False,False
rakowcu,rakowcu,SUBST,NOUN,conj,drzewa,False,False,False
eeg,eeg,SUBST,NOUN,nmod:arg,rakowcu,False,False,False
biofeedback,biofeedback,SUBST,NOUN,nmod:arg,rakowcu,False,False,False
-,-,INTERP,PUNCT,punct,trening,False,True,False
bezpłatny,bezpłatny,ADJ,ADJ,amod,trening,False,False,False
trening,trening,SUBST,NOUN,conj,drzewa,False,False,False
mózgu,mózg,SUBST,NOUN,nmod:arg,trening,False,False,False
dla,dla,PREP,ADP,case,dzieci,True,False,False
naszych,naszych,ADJ,DET,det:poss,dzieci,True,False,False
dzieci,dziecko,SUBST,NOUN,obl,woronicza,False,False,False
woronicza,woronicza,FIN,VERB,ROOT,woronicza,False,False,False
się,się,QUB,PRON,expl:pv,woronicza,True,False,False
zieleni,zieleń,FIN,NOUN,iobj,woronicza,False,False,False
przejście,przejście,GER,NOUN,nsubj,woronicza,False,False,False
do,do,PREP,ADP,case,mostu,True,False,False
mostu,most,SUBST,NOUN,nmod,przejście,False,False,False
gdańskiego,gdański,ADJ,ADJ,amod,mostu,False,False,False
dla,dla,PREP,ADP,case,mieszkańców,True,False,False
mieszkańców,mieszkaniec,SUBST,NOUN,nmod,przejście,False,False,False
golędzinowa,golędzinowa,SUBST,ADJ,nmod:arg,mieszkańców,False,False,False
nowoczesna,nowoczesny,ADJ,ADJ,amod,toaleta,False,False,False
toaleta,toaleta,SUBST,NOUN,nsubj,woronicza,False,False,False
publiczna,publiczny,ADJ,ADJ,amod,toaleta,False,False,False
w,w,PREP,ADP,case,parku,True,False,False
parku,park,SUBST,NOUN,nmod,toaleta,False,False,False
kombatantów,kombatant,SUBST,NOUN,nmod:arg,parku,False,False,False
organizacja,organizacja,SUBST,NOUN,nsubj,woronicza,False,False,False
wydarzeń,wydarzenie,SUBST,NOUN,nmod:arg,organizacja,False,False,False
kulturalnych,kulturalny,ADJ,ADJ,amod,wydarzeń,False,False,False
w,w,PREP,ADP,case,bibliotece,True,False,False
bibliotece,biblioteka,SUBST,NOUN,nmod,organizacja,False,False,False
publicznej,publiczny,ADJ,ADJ,amod,bibliotece,False,False,False
w,w,PREP,ADP,case,dz,True,False,False
dz,dz,BREV,X,nmod,bibliotece,False,False,False
.,.,INTERP,PUNCT,punct,dz,False,True,False
rembertów,rembertów,SUBST,VERB,nmod,dz,False,False,False
festiwal,festiwal,SUBST,NOUN,nmod,organizacja,False,False,False
gier,gra,SUBST,NOUN,nmod,festiwal,False,False,False
podwórkowych,podwórkowy,ADJ,ADJ,amod,gier,False,False,False
na,na,PREP,ADP,case,bródnie,True,False,False
bródnie,bródnie,SUBST,NOUN,nmod,festiwal,False,False,False
siłownia,siłownia,SUBST,NOUN,obj,bródnie,False,False,False
zewnętrzna,zewnętrzny,ADJ,ADJ,amod,siłownia,False,False,False
na,na,PREP,ADP,case,osiedlu,True,False,False
osiedlu,osiedle,SUBST,NOUN,nmod,siłownia,False,False,False
piaski,piasek,SUBST,NOUN,nmod:arg,siłownia,False,False,False
biblioteka,biblioteka,SUBST,NOUN,obl,woronicza,False,False,False
nr,nr,BREV,X,nmod,biblioteka,False,False,False
50,50,NUM,NUM,nmod,nr,False,False,True
dzieciom,dziecko,SUBST,NOUN,nmod,biblioteka,False,False,False
neon,neon,SUBST,NOUN,nmod,biblioteka,False,False,False
"""","""",INTERP,PUNCT,punct,dom,False,True,False
dom,dom,SUBST,NOUN,nmod,neon,False,False,False
kultury,kultura,SUBST,NOUN,nmod,dom,False,False,False
zielony,zielony,ADJ,ADJ,amod,dom,False,False,False
ursynów,ursynów,SUBST,PROPN,nmod,dom,False,False,False
na,na,PREP,ADP,case,domu,True,False,False
domu,dom,SUBST,NOUN,nmod,neon,False,False,False
kultury,kultura,SUBST,NOUN,nmod:flat,domu,False,False,False
przy,przy,PREP,ADP,case,ul,True,False,False
ul,ul,BREV,X,nmod,domu,False,False,False
.,.,INTERP,PUNCT,punct,ul,False,True,False
kajakowej,kajakowy,ADJ,ADJ,amod,ul,False,False,False
książka,książka,SUBST,NOUN,nmod,biblioteka,False,False,False
oknem,okno,SUBST,NOUN,appos,książka,False,False,False
na,na,PREP,ADP,case,świat,True,False,False
świat,świat,SUBST,NOUN,nmod,oknem,False,False,False
-,-,INTERP,PUNCT,punct,zakup,False,True,False
zakup,zakup,SUBST,NOUN,conj,oknem,False,False,False
książek,książka,SUBST,NOUN,nmod:arg,zakup,False,False,False
dla,dla,PREP,ADP,case,biblioteki,True,False,False
biblioteki,biblioteka,SUBST,NOUN,nmod,zakup,False,False,False
w,w,PREP,ADP,case,rewitalizacja,True,False,False
wesołej,wesoły,ADJ,ADJ,amod,rewitalizacja,False,False,False
rewitalizacja,rewitalizacja,SUBST,NOUN,nmod,oknem,False,False,False
skweru,skwer,SUBST,NOUN,nmod:arg,rewitalizacja,False,False,False
przy,przy,PREP,ADP,case,ul,True,False,False
ul,ul,BREV,X,nmod,rewitalizacja,False,False,False
.,.,INTERP,PUNCT,punct,ul,False,True,False
żytniej,żytni,ADJ,ADJ,amod,ul,False,False,False
sielecki,sielecki,ADJ,VERB,nmod,ul,False,False,False
plac,plac,SUBST,NOUN,nmod,biblioteka,False,False,False
zabaw,zabawa,SUBST,NOUN,nmod:arg,plac,False,False,False
dla,dla,PREP,ADP,case,dorosłych,True,False,False
dorosłych,dorosły,SUBST,NOUN,nmod,plac,False,False,False
 , ,_SP,SPACE,dep,dorosłych,False,False,False
ogród,ogród,SUBST,NOUN,nmod,plac,False,False,False
francuski,francuski,ADJ,ADJ,amod,ogród,False,False,False
ozdobą,ozdoba,SUBST,NOUN,iobj,woronicza,False,False,False
sielc,sielc,SUBST,NOUN,nmod,ozdobą,False,False,False
modernizacja,modernizacja,SUBST,NOUN,nsubj,woronicza,False,False,False
parkingu,parking,SUBST,NOUN,nmod:arg,modernizacja,False,False,False
przy,przy,PREP,ADP,case,ul,True,False,False
ul,ul,BREV,X,nmod,parkingu,False,False,False
.,.,INTERP,PUNCT,punct,ul,False,True,False
rosoła,rosoła,SUBST,VERB,nmod,ul,False,False,False
tablice,tablica,SUBST,NOUN,nmod,modernizacja,False,False,False
ogłoszeniowe,ogłoszeniowy,ADJ,ADJ,amod,tablice,False,False,False
dla,dla,PREP,ADP,case,mieszkańców,True,False,False
mieszkańców,mieszkaniec,SUBST,NOUN,nmod,tablice,False,False,False
kino,kino,SUBST,NOUN,nsubj,pij,False,False,False
pod,pod,PREP,ADP,case,chmurką,True,False,False
chmurką,chmurka,SUBST,NOUN,nmod,kino,False,False,False
pij,pić,SUBST,VERB,conj,woronicza,False,False,False
",",",",INTERP,PUNCT,punct,warszawo,False,True,False
warszawo,warszawo,SUBST,ADV,advmod,woronicza,False,False,False
-,-,INTERP,PUNCT,punct,warszawo,False,True,False
na,na,PREP,ADP,case,rakowcu,True,False,False
rakowcu,rakowcu,SUBST,NOUN,nmod,skwer,False,False,False
skwer,skwer,SUBST,NOUN,obl,woronicza,False,False,False
krasnowola,krasnowola,SUBST,NOUN,nmod,skwer,False,False,False
nowe,nowy,ADJ,ADJ,amod,książki,False,False,False
książki,książka,SUBST,NOUN,nmod,skwer,False,False,False
dla,dla,PREP,ADP,case,pragi,True,False,False
starej,stary,ADJ,ADJ,amod,pragi,False,False,False
pragi,pragi,SUBST,PROPN,nmod,stoliki,False,False,False
miejskie,miejski,ADJ,ADJ,amod,stoliki,False,False,False
stoliki,stolik,SUBST,NOUN,nmod,książki,False,False,False
i,i,CONJ,CCONJ,cc,krzesła,True,False,False
krzesła,krzesło,SUBST,NOUN,conj,stoliki,False,False,False
nowoczesne,nowoczesny,ADJ,ADJ,amod,boisko,False,False,False
boisko,boisko,SUBST,NOUN,nmod,książki,False,False,False
przy,przy,PREP,ADP,case,sp,True,False,False
sp,sp,SUBST,X,nmod,książki,False,False,False
255,255,SUBST,X,amod,sp,False,False,True
.,.,INTERP,PUNCT,punct,woronicza,False,True,False
plac,plac,SUBST,NOUN,ROOT,plac,False,False,False
zabaw,zabawa,SUBST,NOUN,nmod,plac,False,False,False
"""","""",INTERP,PUNCT,punct,dżungla,False,True,False
dżungla,dżungla,SUBST,NOUN,nmod,plac,False,False,False
w,w,PREP,ADP,case,kosmosie,True,False,False
kosmosie,kosmos,SUBST,NOUN,nmod,dżungla,False,False,False
doposażenie,doposażenie,GER,NOUN,nmod,plac,False,False,False
szkoły,szkoła,SUBST,NOUN,nmod,doposażenie,False,False,False
podstawowej,podstawowy,ADJ,ADJ,amod,szkoły,False,False,False
nr,nr,BREV,X,nmod,szkoły,False,False,False
202,202,NUM,NUM,amod,nr,False,False,True
w,w,PREP,ADP,case,sprzęt,True,False,False
sprzęt,sprzęt,SUBST,NOUN,nmod,doposażenie,False,False,False
sportowy,sportowy,ADJ,ADJ,amod,sprzęt,False,False,False
.,.,INTERP,PUNCT,punct,plac,False,True,False
sprzątanie,sprzątanie,GER,NOUN,ROOT,sprzątanie,False,False,False
trawników,trawnik,SUBST,NOUN,obj,sprzątanie,False,False,False
",",",",INTERP,PUNCT,punct,kosze,False,True,False
kosze,kosz,SUBST,NOUN,conj,trawników,False,False,False
",",",",INTERP,PUNCT,punct,kampania,False,True,False
kampania,kampania,SUBST,NOUN,conj,trawników,False,False,False
społeczna,społeczny,ADJ,ADJ,amod,kampania,False,False,False
dot,dot,SUBST,X,nmod,kampania,False,False,False
.,.,INTERP,PUNCT,punct,dot,False,True,False
sprzątania,sprzątanie,GER,NOUN,nmod:arg,dot,False,False,False
po,po,PREP,ADP,case,psie,True,False,False
psie,psi,SUBST,ADJ,nmod,sprzątania,False,False,False
remont,remonta,SUBST,NOUN,nmod,trawników,False,False,False
i,i,CONJ,CCONJ,cc,aranżacja,True,False,False
aranżacja,aranżacja,SUBST,NOUN,conj,sprzątanie,False,False,False
podestu,podest,SUBST,NOUN,nmod:arg,aranżacja,False,False,False
(,(,SUBST,PUNCT,punct,nawierzchni,False,True,False
nawierzchni,nawierzchnia,SUBST,NOUN,nmod,podestu,False,False,False
),),INTERP,PUNCT,punct,nawierzchni,False,True,False
prowadzącego,prowadzący,PACT,ADJ,acl,podestu,False,False,False
do,do,PREP,ADP,case,ośrodka,True,False,False
ośrodka,ośrodek,SUBST,NOUN,obl,prowadzącego,False,False,False
wsparcia,wsparcie,SUBST,NOUN,nmod:arg,ośrodka,False,False,False
dla,dla,PREP,ADP,case,seniorów,True,False,False
seniorów,senior,SUBST,NOUN,nmod,wsparcia,False,False,False
